
By speaker
t: -0.701, p:  0.491, dt: 27/11/2010-11:40:28, F1: naif1 - ratb - aa plain, N1 = 12, N2 = 12
t: -3.916, p:  0.001, dt: 27/11/2010-11:40:29, F2: naif1 - alan - aa plain, N1 = 12, N2 = 12
t:  0.811, p:  0.426, dt: 27/11/2010-11:40:29, F2: naif1 - ktab - aa plain, N1 = 12, N2 = 12
t: -0.118, p:  0.907, dt: 27/11/2010-11:40:29, F2: naif1 - mlabs - aa plain, N1 = 12, N2 = 12
t:  2.394, p:  0.026, dt: 27/11/2010-11:40:29, F2: naif1 - ratb - aa plain, N1 = 12, N2 = 12
t: -1.368, p:  0.185, dt: 27/11/2010-11:40:29, F3: naif1 - alan - aa plain, N1 = 12, N2 = 12
t:  2.632, p:  0.015, dt: 27/11/2010-11:40:29, F3: naif1 - ktab - aa plain, N1 = 12, N2 = 12
t:  1.877, p:  0.074, dt: 27/11/2010-11:40:29, F3: naif1 - mlabs - aa plain, N1 = 12, N2 = 12
t: -2.143, p:  0.043, dt: 27/11/2010-11:40:29, F3: naif1 - ratb - aa plain, N1 = 12, N2 = 12
t: -0.730, p:  0.472, dt: 27/11/2010-11:40:29, F1: naif1 - hy - ii plain, N1 = 13, N2 = 16
t: -0.862, p:  0.397, dt: 27/11/2010-11:40:29, F1: naif1 - jzyrh - ii plain, N1 = 13, N2 = 12
t:  4.729, p:  0.000, dt: 27/11/2010-11:40:29, F1: naif1 - sdyd - ii plain, N1 = 13, N2 = 12
t: -1.984, p:  0.059, dt: 27/11/2010-11:40:29, F1: naif1 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -1.673, p:  0.106, dt: 27/11/2010-11:40:29, F2: naif1 - hy - ii plain, N1 = 13, N2 = 16
t:  0.855, p:  0.401, dt: 27/11/2010-11:40:29, F2: naif1 - jzyrh - ii plain, N1 = 13, N2 = 12
t: -2.839, p:  0.009, dt: 27/11/2010-11:40:29, F2: naif1 - sdyd - ii plain, N1 = 13, N2 = 12
t:  2.804, p:  0.010, dt: 27/11/2010-11:40:29, F2: naif1 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -3.217, p:  0.003, dt: 27/11/2010-11:40:29, F3: naif1 - hy - ii plain, N1 = 13, N2 = 16
t:  1.604, p:  0.122, dt: 27/11/2010-11:40:29, F3: naif1 - jzyrh - ii plain, N1 = 13, N2 = 12
t: -0.708, p:  0.486, dt: 27/11/2010-11:40:29, F3: naif1 - sdyd - ii plain, N1 = 13, N2 = 12
t:  4.054, p:  0.000, dt: 27/11/2010-11:40:29, F3: naif1 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -0.017, p:  0.986, dt: 27/11/2010-11:40:29, F1: naif1 - ftwr - uu plain, N1 = 15, N2 = 12
t: -1.647, p:  0.108, dt: 27/11/2010-11:40:29, F1: naif1 - hw - uu plain, N1 = 15, N2 = 24
t:  4.945, p:  0.000, dt: 27/11/2010-11:40:29, F1: naif1 - skwt - uu plain, N1 = 15, N2 = 12
t: -1.743, p:  0.094, dt: 27/11/2010-11:40:29, F1: naif1 - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -3.183, p:  0.004, dt: 27/11/2010-11:40:29, F1: naif1 - zhwr - uu plain, N1 = 15, N2 = 12
t:  1.345, p:  0.191, dt: 27/11/2010-11:40:29, F2: naif1 - ftwr - uu plain, N1 = 15, N2 = 12
t:  1.382, p:  0.175, dt: 27/11/2010-11:40:29, F2: naif1 - hw - uu plain, N1 = 15, N2 = 24
t:  0.035, p:  0.973, dt: 27/11/2010-11:40:29, F2: naif1 - skwt - uu plain, N1 = 15, N2 = 12
t: -3.209, p:  0.004, dt: 27/11/2010-11:40:29, F2: naif1 - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -0.362, p:  0.720, dt: 27/11/2010-11:40:29, F2: naif1 - zhwr - uu plain, N1 = 15, N2 = 12
t:  0.304, p:  0.763, dt: 27/11/2010-11:40:29, F3: naif1 - ftwr - uu plain, N1 = 15, N2 = 12
t: -0.250, p:  0.804, dt: 27/11/2010-11:40:29, F3: naif1 - hw - uu plain, N1 = 15, N2 = 24
t:  1.146, p:  0.263, dt: 27/11/2010-11:40:29, F3: naif1 - skwt - uu plain, N1 = 15, N2 = 12
t: -1.549, p:  0.134, dt: 27/11/2010-11:40:29, F3: naif1 - tlyfwn - uu plain, N1 = 15, N2 = 12
t:  0.896, p:  0.379, dt: 27/11/2010-11:40:29, F3: naif1 - zhwr - uu plain, N1 = 15, N2 = 12
t:  3.638, p:  0.001, dt: 27/11/2010-11:40:29, F1: naif2 - alan - aa plain, N1 = 12, N2 = 12
t: -1.151, p:  0.262, dt: 27/11/2010-11:40:29, F1: naif2 - ktab - aa plain, N1 = 12, N2 = 12
t: -0.545, p:  0.591, dt: 27/11/2010-11:40:30, F1: naif2 - mlabs - aa plain, N1 = 12, N2 = 12
t: -1.569, p:  0.131, dt: 27/11/2010-11:40:30, F1: naif2 - ratb - aa plain, N1 = 12, N2 = 12
t: -3.693, p:  0.001, dt: 27/11/2010-11:40:30, F2: naif2 - alan - aa plain, N1 = 12, N2 = 12
t: -0.354, p:  0.727, dt: 27/11/2010-11:40:30, F2: naif2 - ktab - aa plain, N1 = 12, N2 = 12
t: -0.778, p:  0.445, dt: 27/11/2010-11:40:30, F2: naif2 - mlabs - aa plain, N1 = 12, N2 = 12
t:  3.928, p:  0.001, dt: 27/11/2010-11:40:30, F2: naif2 - ratb - aa plain, N1 = 12, N2 = 12
t:  0.115, p:  0.910, dt: 27/11/2010-11:40:30, F3: naif2 - alan - aa plain, N1 = 12, N2 = 12
t:  2.523, p:  0.019, dt: 27/11/2010-11:40:30, F3: naif2 - ktab - aa plain, N1 = 12, N2 = 12
t:  1.243, p:  0.227, dt: 27/11/2010-11:40:30, F3: naif2 - mlabs - aa plain, N1 = 12, N2 = 12
t: -4.256, p:  0.000, dt: 27/11/2010-11:40:30, F3: naif2 - ratb - aa plain, N1 = 12, N2 = 12
t: -1.751, p:  0.091, dt: 27/11/2010-11:40:30, F1: naif2 - hy - ii plain, N1 = 13, N2 = 16
t: -1.720, p:  0.099, dt: 27/11/2010-11:40:30, F1: naif2 - jzyrh - ii plain, N1 = 13, N2 = 12
t:  3.552, p:  0.002, dt: 27/11/2010-11:40:30, F1: naif2 - sdyd - ii plain, N1 = 13, N2 = 12
t:  0.636, p:  0.531, dt: 27/11/2010-11:40:30, F1: naif2 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -2.195, p:  0.037, dt: 27/11/2010-11:40:30, F2: naif2 - hy - ii plain, N1 = 13, N2 = 16
t:  1.116, p:  0.276, dt: 27/11/2010-11:40:30, F2: naif2 - jzyrh - ii plain, N1 = 13, N2 = 12
t: -2.783, p:  0.011, dt: 27/11/2010-11:40:30, F2: naif2 - sdyd - ii plain, N1 = 13, N2 = 12
t:  4.459, p:  0.000, dt: 27/11/2010-11:40:30, F2: naif2 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -2.153, p:  0.040, dt: 27/11/2010-11:40:30, F3: naif2 - hy - ii plain, N1 = 13, N2 = 16
t:  1.349, p:  0.190, dt: 27/11/2010-11:40:30, F3: naif2 - jzyrh - ii plain, N1 = 13, N2 = 12
t: -1.169, p:  0.254, dt: 27/11/2010-11:40:30, F3: naif2 - sdyd - ii plain, N1 = 13, N2 = 12
t:  3.526, p:  0.002, dt: 27/11/2010-11:40:30, F3: naif2 - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -0.807, p:  0.427, dt: 27/11/2010-11:40:30, F1: naif2 - ftwr - uu plain, N1 = 15, N2 = 12
t: -1.837, p:  0.074, dt: 27/11/2010-11:40:30, F1: naif2 - hw - uu plain, N1 = 15, N2 = 24
t:  3.684, p:  0.001, dt: 27/11/2010-11:40:30, F1: naif2 - skwt - uu plain, N1 = 15, N2 = 12
t:  0.019, p:  0.985, dt: 27/11/2010-11:40:30, F1: naif2 - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -1.954, p:  0.062, dt: 27/11/2010-11:40:30, F1: naif2 - zhwr - uu plain, N1 = 15, N2 = 12
